used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
1936,1984,0,0.000000,0
5632,5728,0,0.000000,0
7168,7312,0,0.000000,0
8664,8856,0,0.000000,0
7168,8856,1,0.000000,0
5232,8856,2,0.435897,0
3696,8856,2,0.385965,0
0,8856,1,0.000000,0
4048,8856,1,0.000000,0
7648,8856,1,0.000000,0
7864,8856,1,0.000000,0
9544,10584,1,0.000000,0
9328,10584,1,0.000000,0
12736,14040,1,0.000000,0
9136,14040,1,0.000000,0
7456,14040,1,0.000000,0
10112,14040,1,0.000000,0
13320,14040,1,0.000000,0
10112,14040,1,0.000000,0
6704,14040,1,0.000000,0
7424,14040,1,0.000000,0
9864,14040,1,0.000000,0
10168,14040,1,0.000000,0
6120,14040,2,0.469602,0
8336,14040,2,0.245902,0
11184,14040,2,0.466019,0
8336,14040,2,0.245902,0
7616,14040,3,0.335085,0
9536,14040,3,0.495146,0
7320,14040,3,0.438596,0
4880,14040,3,0.596032,0
5256,14040,3,0.575758,0
4952,14040,2,0.187161,0
8472,14040,2,0.313636,0
12536,18152,2,0.313636,0
12936,18152,2,0.250000,0
14912,18152,2,0.430199,0
12256,18152,2,0.290276,0
8736,18152,2,0.176211,0
12088,18152,2,0.281690,0
13832,18152,2,0.411523,0
15088,18152,2,0.114551,0
17480,20592,2,0.114551,0
19776,22936,2,0.114551,0
21312,22936,2,0.296000,0
23880,25552,2,0.296000,0
19816,25552,2,0.137715,0
19920,25552,2,0.111290,0
22968,25552,2,0.296137,0
26720,29352,2,0.296137,0
29304,31984,2,0.296137,0
29336,31984,2,0.264574,0
33240,35936,2,0.264574,0
33208,35936,2,0.296137,0
34440,35936,2,0.054795,0
37624,39168,2,0.054795,0
36392,39168,2,0.296137,0
34000,39168,2,0.128253,0
32464,39168,3,0.357534,0
33360,39168,3,0.233660,0
32960,39168,4,0.291541,0
37032,43288,4,0.291541,0
37424,43288,3,0.233660,8
40808,43288,3,0.595628,8
40968,43288,3,0.528662,8
40864,43288,2,0.076923,8
37680,43288,3,0.313793,8
35112,43288,4,0.558269,8
31360,43288,4,0.421512,8
31640,43288,4,0.403745,8
34200,43288,4,0.211100,8
37752,43288,4,0.381038,8
41664,47248,4,0.381038,8
45256,50888,4,0.381038,8
44880,50888,5,0.429043,8
42320,50888,5,0.572961,8
43504,50888,5,0.488432,8
41584,50888,5,0.611328,8
42080,50888,5,0.583682,8
45184,50888,5,0.478648,8
49200,54952,5,0.478648,8
45848,54952,6,0.572885,8
48016,54952,6,0.404830,8
44912,54952,6,0.618397,8
44952,54952,6,0.614535,8
44968,54952,5,0.613469,16
44072,54952,6,0.649666,16
42888,54952,6,0.689630,16
38984,54952,6,0.516269,16
42616,54952,6,0.687861,16
42456,54952,7,0.692308,16
46096,58640,7,0.692308,16
46528,58640,6,0.678810,56
42936,58640,7,0.749721,56
42544,58640,6,0.732220,48
43416,58640,5,0.715023,72
47408,62680,5,0.715023,72
43392,62680,5,0.575044,72
44032,62680,5,0.558172,72
44744,62680,5,0.537904,72
41696,62680,6,0.609706,72
39952,62680,6,0.642377,72
41496,62680,6,0.613646,72
43760,62680,6,0.562614,72
39688,62680,6,0.645949,72
39048,62680,7,0.656126,72
42448,62680,7,0.593112,72
43448,62680,7,0.569113,72
42952,62680,8,0.580815,72
46832,62680,8,0.465960,72
49192,62680,8,0.560027,72
49176,62680,9,0.560910,64
45624,62680,9,0.662551,64
45800,62680,9,0.657620,64
45624,62680,9,0.662551,64
46488,62680,9,0.641530,64
47440,62680,9,0.615249,64
46440,62680,9,0.642702,64
48296,62680,9,0.589487,64
44912,62680,8,0.677324,64
46448,62680,8,0.642507,64
42816,62680,9,0.713412,64
40960,62680,9,0.740404,64
44472,62680,9,0.684918,64
46592,62680,9,0.637769,64
42712,62680,10,0.714286,64
44488,62680,10,0.682785,64
46824,62680,10,0.629379,64
44656,62680,11,0.678589,64
46768,62680,11,0.629588,64
48040,62680,10,0.591532,112
51264,62680,10,0.451963,112
51336,62680,9,0.447811,112
50464,62680,9,0.497703,88
46824,62680,9,0.367855,88
42832,62680,9,0.286092,88
40472,62680,9,0.252623,88
41904,62680,9,0.194724,88
44704,62680,9,0.228839,88
48056,62680,9,0.289359,88
51976,62680,9,0.418542,88
54944,62680,9,0.633515,88
52360,62680,10,0.694418,88
53448,62680,10,0.646995,88
52192,62680,11,0.698694,88
48792,62680,12,0.716099,88
50128,62680,12,0.679003,88
48696,62680,12,0.718357,88
47360,62680,12,0.747325,88
50264,62680,12,0.753998,88
51688,62680,12,0.713906,88
51408,62680,11,0.725340,88
54832,66152,11,0.725340,88
55488,66152,11,0.703125,88
58752,69464,11,0.703125,88
58816,69464,10,0.699255,136
57728,69464,10,0.734375,136
60800,72584,10,0.734375,136
59256,72584,10,0.748410,136
59360,72584,10,0.744986,136
62288,75560,10,0.744986,136
62440,75560,10,0.740336,136
65072,75560,10,0.688224,136
67040,75560,10,0.588010,136
64928,75560,10,0.693548,136
68824,79504,10,0.693548,136
71136,79504,10,0.642951,136
70424,79504,10,0.682670,136
68304,79504,11,0.757819,136
66336,79504,11,0.802334,136
69104,82320,11,0.802334,136
72192,85456,11,0.802334,136
69856,85456,11,0.659077,136
66432,85456,11,0.665716,136
66584,85456,10,0.662344,152
63952,85456,11,0.708420,152
66536,85456,10,0.662344,200
63448,85456,11,0.715154,200
62584,85456,11,0.727730,200
63056,85456,11,0.720699,200
64456,85456,11,0.699058,200
65728,85456,11,0.676186,200
62824,85456,12,0.722573,200
60056,85456,12,0.744283,200
59984,85456,13,0.745078,200
63216,85456,13,0.703018,200
65232,85456,13,0.668612,200
67968,85456,13,0.607238,200
66544,85456,12,0.643306,200
69448,85456,12,0.782941,200
72224,85456,11,0.726261,240
73544,85456,11,0.686491,240
74848,85456,11,0.633929,240
75944,85456,11,0.573410,240
76920,85456,11,0.499322,240
75968,85456,11,0.571926,240
73000,85456,12,0.699108,240
77008,89512,12,0.699108,240
79648,89512,12,0.586399,240
81456,89512,12,0.765414,240
85528,93632,12,0.765414,240
85640,93632,12,0.758140,240
84240,93632,12,0.686441,240
84832,93632,12,0.652815,240
87912,96760,12,0.652815,240
87800,96760,12,0.661880,240
88272,96760,12,0.630528,240
90296,96760,11,0.647059,288
91904,98416,11,0.647059,288
93472,100032,11,0.647059,288
91664,100032,12,0.661677,288
88400,100032,12,0.563771,288
91304,100032,12,0.683029,288
92960,100032,12,0.688000,288
95424,102544,12,0.688000,288
96584,102544,12,0.704871,288
93808,102544,13,0.497860,248
94856,102544,13,0.618794,248
97784,105520,13,0.618794,248
94856,105520,14,0.606452,248
92880,105520,15,0.689040,248
91224,105520,15,0.736691,248
94352,108696,15,0.736691,248
93920,108696,15,0.748454,208
94800,108696,15,0.726662,208
98384,112328,15,0.726662,208
101576,115568,15,0.726662,208
105032,119072,15,0.726662,208
101840,119072,16,0.770426,208
100232,119072,17,0.794224,208
97496,119072,17,0.815479,208
96616,119072,17,0.824386,208
96552,119072,18,0.825403,160
93200,119072,19,0.851199,160
95424,119072,19,0.834639,160
92960,119072,19,0.762736,160
93848,119072,19,0.752637,160
95952,119072,19,0.725806,160
91880,119072,20,0.772499,160
94568,119072,20,0.743105,160
97368,119072,20,0.703186,160
94288,119072,20,0.664430,160
96840,119072,20,0.618159,160
95568,119072,20,0.643987,112
99048,119072,20,0.780067,112
102952,123024,20,0.780067,112
104688,123024,20,0.753755,112
103368,123024,20,0.774447,112
105240,123024,20,0.744290,112
106120,123024,19,0.726786,152
108592,123024,19,0.842491,152
109840,123024,19,0.821280,152
113008,126240,19,0.821280,152
112120,126240,18,0.735294,152
109432,126240,18,0.748801,152
112816,129672,18,0.748801,152
