used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
1936,1984,0,0.000000,0
5632,5728,0,0.000000,0
7168,7312,0,0.000000,0
8664,8856,0,0.000000,0
7168,8856,1,0.000000,0
5232,8856,2,0.435897,0
3696,8856,2,0.385965,0
0,8856,1,0.000000,0
4048,8856,1,0.000000,0
7648,8856,1,0.000000,0
7864,8856,1,0.000000,0
9544,10584,1,0.000000,0
9328,10584,1,0.000000,0
12736,14040,1,0.000000,0
9136,14040,1,0.000000,0
7456,14040,1,0.000000,0
10112,14040,1,0.000000,0
13320,14040,1,0.000000,0
10112,14040,1,0.000000,0
6704,14040,1,0.000000,0
7424,14040,1,0.000000,0
9864,14040,1,0.000000,0
10168,14040,1,0.000000,0
6120,14040,2,0.469602,0
8336,14040,2,0.332340,0
11184,14040,2,0.278317,0
8336,14040,2,0.332340,0
7616,14040,3,0.411301,0
9536,14040,3,0.566990,0
7320,14040,3,0.365915,0
4880,14040,3,0.543733,0
5256,14040,3,0.571023,0
4952,14040,3,0.588182,0
8472,14040,3,0.319572,0
12536,18152,3,0.319572,0
12936,18152,3,0.349498,0
14912,18152,3,0.414493,0
12256,18152,3,0.494876,0
8736,18152,3,0.299380,0
12088,18152,3,0.480114,0
13832,18152,3,0.579167,0
15088,18152,3,0.552050,0
17480,20592,3,0.552050,0
19776,22936,3,0.552050,0
21312,24520,3,0.552050,0
23880,27136,3,0.552050,0
19816,27136,3,0.334537,0
19920,27136,3,0.318966,0
22968,27136,3,0.609412,0
26720,30936,3,0.609412,0
29304,33568,3,0.609412,0
29336,33568,3,0.600000,0
33240,37520,3,0.600000,0
33208,37520,3,0.609412,0
34440,37520,3,0.486792,0
37624,40752,3,0.486792,0
36392,40752,3,0.609412,0
34000,40752,3,0.354795,0
32464,40752,4,0.489154,0
33360,40752,4,0.414179,0
32960,40752,4,0.452326,0
37032,44872,4,0.452326,0
37424,44872,4,0.414907,0
40808,44872,4,0.489362,0
40968,44872,4,0.451429,0
40864,44872,5,0.471074,0
37680,44872,6,0.477004,0
35112,44872,6,0.522978,0
31360,44872,6,0.364044,0
31640,44872,6,0.346912,0
34200,44872,6,0.441472,0
37752,44872,6,0.466488,0
41664,48832,6,0.466488,0
45256,52472,6,0.466488,0
44880,52472,7,0.498108,0
42320,52472,8,0.642408,0
43504,52472,8,0.584984,0
41584,52472,8,0.669710,0
42080,52472,8,0.649956,0
45184,52472,8,0.667564,0
49200,56536,8,0.667564,0
45848,56536,8,0.595890,0
48016,56536,8,0.722783,0
44912,56536,8,0.690272,0
44952,56536,8,0.687598,0
44968,56536,8,0.685624,0
44072,56536,8,0.712428,0
42888,56536,8,0.741222,0
38984,56536,8,0.561024,0
42616,56536,8,0.725191,0
42456,56536,9,0.728643,0
46096,60224,9,0.728643,0
46528,60224,9,0.718016,0
42936,60224,10,0.773347,0
42544,60224,9,0.780118,0
43416,60224,9,0.766995,0
47408,64264,9,0.766995,0
43392,64264,9,0.606982,0
44032,64264,9,0.592593,0
44744,64264,9,0.575421,0
41696,64264,10,0.636812,0
39952,64264,10,0.665268,0
41496,64264,10,0.640226,0
43760,64264,10,0.596373,0
39688,64264,10,0.668399,0
39048,64264,10,0.677995,0
42448,64264,10,0.623377,0
43448,64264,10,0.602905,0
42952,64264,11,0.612864,0
46832,64264,11,0.516911,0
49192,64264,11,0.430357,0
49176,64264,12,0.431034,0
45624,64264,11,0.552385,0
45800,64264,11,0.546445,0
45624,64264,11,0.552385,0
46488,64264,10,0.527641,32
47440,64264,10,0.496581,32
46440,64264,9,0.530422,32
48296,64264,9,0.468333,32
44912,64264,8,0.571812,32
46448,64264,8,0.530191,32
42816,64264,9,0.615817,32
40960,64264,9,0.649322,32
44472,64264,9,0.580998,32
46592,64264,9,0.524590,32
42712,64264,9,0.617812,32
44488,64264,9,0.579525,32
46824,64264,9,0.516178,32
44656,64264,10,0.574478,32
46768,64264,10,0.516422,32
48040,64264,10,0.472437,32
51264,64264,10,0.609964,32
51336,64264,10,0.605755,32
50464,64264,11,0.634423,32
46824,64264,11,0.485204,32
42832,64264,11,0.385801,32
40472,64264,12,0.451449,32
41904,64264,12,0.412039,32
44704,64264,11,0.319245,40
48056,64264,11,0.394664,40
51976,64264,11,0.544896,40
54944,64264,11,0.766739,40
52360,64264,11,0.639841,40
53448,64264,11,0.593890,40
52192,64264,11,0.645768,40
48792,64264,11,0.656122,40
50128,64264,11,0.617340,40
48696,64264,11,0.658522,40
47360,64264,11,0.689746,40
50264,64264,11,0.614576,40
51688,64264,11,0.561613,40
51408,64264,11,0.574638,40
54832,64264,11,0.688161,40
55488,64264,11,0.656177,40
58752,67576,11,0.656177,40
58816,67576,11,0.650474,40
57728,67576,11,0.700811,40
60800,70696,11,0.700811,40
59256,70696,11,0.751055,40
59360,70696,11,0.746998,40
62288,73672,11,0.746998,40
62440,73672,11,0.741455,40
65072,76352,11,0.741455,40
67040,76352,11,0.757030,40
64928,76352,11,0.766178,40
68824,80296,11,0.766178,40
71136,82656,11,0.766178,40
70424,82656,12,0.782853,40
68304,82656,12,0.781435,40
66336,82656,12,0.812535,40
69104,85472,12,0.812535,40
72192,88608,12,0.812535,40
69856,88608,12,0.815853,40
66432,88608,11,0.611798,40
66584,88608,11,0.607890,40
63952,88608,12,0.653750,40
66536,88608,12,0.607890,40
63448,88608,13,0.660627,40
62584,88608,12,0.674683,8
63056,88608,12,0.667463,8
64456,88608,11,0.645560,56
65728,88608,11,0.622919,56
62824,88608,11,0.545054,56
60056,88608,11,0.593523,56
59984,88608,10,0.596090,56
63216,88608,10,0.679931,56
65232,88608,10,0.648852,56
67968,88608,10,0.680381,56
66544,88608,9,0.704682,56
69448,88608,9,0.653521,56
72224,88608,9,0.783343,56
73544,88608,9,0.760274,56
74848,88608,9,0.732081,56
75944,88608,8,0.702473,104
76920,88608,8,0.669811,104
75968,88608,8,0.701782,104
73000,88608,8,0.644484,104
77008,88608,8,0.668389,104
79648,88608,8,0.601212,104
81456,88608,8,0.726813,104
85528,92728,8,0.726813,104
85640,92728,8,0.717277,104
84240,92728,9,0.759947,56
84832,92728,9,0.759644,56
87912,95856,9,0.759644,56
87800,95856,9,0.766571,56
88272,95856,9,0.742448,56
90296,97928,9,0.742448,56
91904,99584,9,0.742448,56
93472,101200,9,0.742448,56
91664,101200,9,0.617886,56
88400,101200,9,0.607843,56
91304,101200,9,0.636865,56
92960,101200,9,0.766234,56
95424,103712,9,0.766234,56
96584,103712,9,0.758303,56
93808,103712,10,0.609674,56
94856,103712,9,0.542216,56
97784,106688,9,0.542216,56
94856,106688,10,0.674377,56
92880,106688,10,0.734205,56
91224,106688,10,0.769811,56
94352,109864,10,0.769811,56
93920,109864,10,0.778182,56
94800,109864,10,0.761408,56
98384,113496,10,0.761408,56
101576,116736,10,0.761408,56
105032,120240,10,0.761408,56
101840,120240,11,0.793585,56
100232,120240,12,0.813027,56
97496,120240,13,0.838853,56
96616,120240,13,0.846065,56
96552,120240,14,0.846538,56
93200,120240,15,0.861212,56
95424,120240,15,0.846801,56
92960,120240,15,0.776976,56
93848,120240,15,0.768076,56
95952,120240,15,0.744649,56
91880,120240,15,0.786029,56
94568,120240,15,0.760226,56
97368,120240,15,0.725806,56
94288,120240,15,0.763149,56
96840,120240,15,0.732914,56
95568,120240,15,0.749170,56
99048,120240,15,0.700441,56
102952,120240,15,0.775338,56
104688,120240,15,0.743078,56
103368,120240,16,0.767753,56
105240,120240,16,0.730041,56
106120,120240,16,0.707048,56
108592,120240,16,0.808023,56
109840,120240,15,0.773903,72
113008,123456,15,0.773903,72
112120,123456,16,0.799000,72
109432,123456,16,0.741431,72
112816,126888,16,0.741431,72
