used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
1936,1984,0,0.000000,0
5632,5728,0,0.000000,0
7168,7312,0,0.000000,0
8664,8856,0,0.000000,0
7168,8856,1,0.000000,0
5232,8856,2,0.435897,0
3696,8856,2,0.385965,0
0,8856,1,0.000000,0
4048,8856,1,0.000000,0
7648,8856,1,0.000000,0
7864,8856,1,0.000000,0
9544,10584,1,0.000000,0
9328,10584,1,0.000000,0
12736,14040,1,0.000000,0
9136,14040,1,0.000000,0
7456,14040,1,0.000000,0
10112,14040,1,0.000000,0
13320,14040,1,0.000000,0
10112,14040,1,0.000000,0
6704,14040,1,0.000000,0
7424,14040,1,0.000000,0
9864,14040,1,0.000000,0
10168,14040,1,0.000000,0
6120,14040,2,0.469602,0
8336,14040,2,0.332340,0
11184,14040,2,0.278317,0
8336,14040,2,0.332340,0
7616,14040,3,0.411301,0
9536,14040,3,0.566990,0
7320,14040,3,0.365915,0
4880,14040,3,0.543733,0
5256,14040,3,0.571023,0
4952,14040,3,0.588182,0
8472,14040,2,0.308397,40
12536,18152,2,0.308397,40
12936,18152,2,0.243740,40
14912,18152,2,0.421965,40
12256,18152,2,0.213450,40
8736,18152,2,0.128634,0
12088,18152,2,0.205634,0
13832,18152,2,0.300412,0
15088,18152,2,0.452012,0
17480,20592,2,0.452012,0
19776,22936,2,0.452012,0
21312,24520,2,0.452012,0
23880,27136,2,0.452012,0
19816,27136,2,0.211470,0
19920,27136,2,0.216381,0
22968,27136,2,0.410673,0
26720,30936,2,0.410673,0
29304,33568,2,0.410673,0
29336,33568,2,0.396675,0
33240,37520,2,0.396675,0
33208,37520,2,0.410673,0
34440,37520,2,0.346863,0
37624,40752,2,0.346863,0
36392,40752,2,0.410673,0
34000,40752,2,0.240489,0
32464,40752,3,0.397629,0
33360,40752,3,0.455556,0
32960,40752,4,0.487209,0
37032,44872,4,0.487209,0
37424,44872,4,0.452174,0
40808,44872,4,0.529255,0
40968,44872,4,0.494286,0
40864,44872,4,0.520325,0
37680,44872,5,0.481095,0
35112,44872,5,0.599634,0
31360,44872,5,0.418101,0
31640,44872,5,0.429319,0
34200,44872,5,0.274542,0
37752,44872,5,0.438830,0
41664,48832,5,0.438830,0
45256,52472,5,0.438830,0
44880,52472,6,0.471840,0
42320,52472,6,0.624889,0
43504,52472,6,0.565396,0
41584,52472,5,0.592805,0
42080,52472,5,0.627706,0
45184,52472,5,0.434954,0
49200,56536,5,0.434954,0
45848,56536,6,0.635593,0
48016,56536,6,0.523810,0
44912,56536,6,0.668466,0
44952,56536,6,0.671851,0
44968,56536,6,0.669797,0
44072,56536,7,0.696403,0
42888,56536,7,0.726684,0
38984,56536,7,0.562316,0
42616,56536,7,0.726236,0
42456,56536,8,0.729662,0
46096,60224,8,0.729662,0
46528,60224,8,0.719116,0
42936,60224,9,0.774031,0
42544,60224,9,0.780118,0
43416,60224,9,0.766995,0
47408,64264,9,0.766995,0
43392,64264,9,0.606982,0
44032,64264,9,0.592593,0
44744,64264,9,0.575421,0
41696,64264,9,0.637637,0
39952,64264,9,0.665969,0
41496,64264,9,0.641035,0
43760,64264,9,0.709297,0
39688,64264,9,0.741355,0
39048,64264,8,0.728887,0
42448,64264,8,0.707011,0
43448,64264,8,0.691164,0
42952,64264,9,0.698873,0
46832,64264,9,0.664827,0
49192,64264,9,0.776596,0
49176,64264,9,0.777647,0
45624,64264,10,0.792910,0
45800,64264,10,0.790170,0
45624,64264,10,0.792910,0
46488,64264,10,0.781281,0
47440,64264,10,0.766929,0
46440,64264,10,0.781925,0
48296,64264,10,0.795884,0
44912,64264,9,0.686520,0
46448,64264,9,0.656020,0
42816,64264,10,0.718763,0
40960,64264,10,0.743308,0
44472,64264,10,0.693252,0
46592,64264,10,0.651914,0
42712,64264,10,0.701039,0
44488,64264,10,0.671064,0
46824,64264,10,0.621457,0
44656,64264,11,0.667112,0
46768,64264,11,0.758220,0
48040,64264,11,0.736203,0
51264,64264,11,0.659301,0
51336,64264,11,0.655620,0
50464,64264,12,0.680695,0
46824,64264,12,0.715526,0
42832,64264,12,0.568819,0
40472,64264,13,0.614938,0
41904,64264,13,0.587252,0
44704,64264,13,0.681552,0
48056,64264,13,0.835379,0
51976,68232,13,0.835379,0
54944,71248,13,0.835379,0
52360,71248,13,0.784064,0
53448,71248,13,0.768570,0
52192,71248,12,0.786778,0
48792,71248,12,0.790617,0
50128,71248,12,0.775561,0
48696,71248,12,0.791586,0
47360,71248,12,0.804631,0
50264,71248,12,0.800418,0
51688,71248,12,0.783808,0
51408,71248,12,0.787744,0
54832,71248,12,0.837734,0
55488,71248,12,0.837572,0
58752,74560,12,0.837572,0
58816,74560,12,0.836247,0
57728,74560,12,0.772336,0
60800,74560,12,0.813351,0
59256,74560,12,0.835633,0
59360,74560,12,0.833738,0
62288,77536,12,0.833738,0
62440,77536,12,0.831177,0
65072,80216,12,0.831177,0
67040,80216,12,0.805252,0
64928,80216,12,0.708714,0
68824,84160,12,0.708714,0
71136,84160,12,0.801634,0
70424,84160,12,0.814712,0
68304,84160,12,0.720794,0
66336,84160,12,0.756619,0
69104,84160,12,0.830025,0
72192,87296,12,0.830025,0
69856,87296,11,0.662839,0
66432,87296,10,0.716893,0
66584,87296,10,0.713857,0
63952,87296,11,0.749248,0
66536,87296,10,0.713857,48
63448,87296,11,0.754509,48
62584,87296,12,0.763894,48
63056,87296,12,0.758333,48
64456,87296,12,0.741373,48
65728,87296,12,0.723695,48
62824,87296,13,0.759813,48
60056,87296,13,0.786833,48
59984,87296,14,0.787444,48
63216,87296,14,0.824780,48
65232,87296,14,0.811741,48
67968,87296,14,0.780867,48
66544,87296,15,0.797826,48
69448,87296,15,0.833765,48
72224,90120,15,0.833765,48
73544,90120,15,0.817614,48
74848,90120,15,0.798240,48
75944,90120,15,0.778315,48
76920,90120,15,0.756818,48
75968,90120,15,0.777855,48
73000,90120,16,0.795705,48
77008,94176,16,0.795705,48
79648,94176,16,0.783108,48
81456,94176,16,0.778045,48
85528,98296,16,0.778045,48
85640,98296,16,0.774430,48
84240,98296,16,0.803407,48
84832,98296,16,0.791573,48
87912,101424,16,0.791573,48
87800,101424,16,0.794663,48
88272,101424,16,0.784268,48
90296,101424,16,0.814634,48
91904,103080,16,0.814634,48
93472,104696,16,0.814634,48
91664,104696,16,0.744630,48
88400,104696,16,0.731299,48
91304,104696,16,0.753456,48
92960,104696,16,0.825528,48
95424,107208,16,0.825528,48
96584,107208,16,0.878465,48
93808,107208,16,0.642912,48
94856,107208,16,0.719237,48
97784,110184,16,0.719237,48
94856,110184,17,0.759211,48
92880,110184,17,0.793570,48
91224,110184,18,0.815152,48
94352,113360,18,0.815152,48
93920,113360,18,0.820588,48
94800,113360,18,0.831601,48
98384,116992,18,0.831601,48
101576,120232,18,0.831601,48
105032,123736,18,0.831601,48
101840,123736,19,0.828239,48
100232,123736,20,0.841918,48
97496,123736,20,0.861072,48
96616,123736,20,0.866466,48
96552,123736,21,0.866822,48
93200,123736,21,0.873429,48
95424,123736,21,0.861970,48
92960,123736,21,0.802956,48
93848,123736,21,0.796041,48
95952,123736,21,0.778140,48
91880,123736,22,0.809737,48
94568,123736,22,0.789604,48
97368,123736,22,0.763561,48
94288,123736,21,0.770547,48
96840,123736,21,0.769335,48
95568,123736,21,0.781561,48
99048,123736,21,0.840569,48
102952,127688,21,0.840569,48
104688,127688,21,0.826051,48
103368,127688,21,0.837405,48
105240,127688,21,0.821008,48
106120,127688,21,0.863074,48
108592,127688,20,0.877687,56
109840,127688,20,0.884487,56
113008,130904,20,0.884487,56
112120,130904,21,0.891224,56
109432,130904,21,0.807127,56
112816,130904,21,0.886013,56
