used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
1936,1984,0,0.000000,0
5632,5728,0,0.000000,0
7168,7312,0,0.000000,0
8664,8856,0,0.000000,0
7128,8856,1,0.000000,0
5632,8856,1,0.000000,0
1936,8856,1,0.000000,0
0,8856,1,0.000000,0
4048,8856,1,0.000000,0
7648,8856,1,0.000000,0
7864,8856,1,0.000000,0
9544,10584,1,0.000000,0
9328,10584,1,0.000000,0
12736,14040,1,0.000000,0
9136,14040,1,0.000000,0
5728,14040,2,0.419704,0
8384,14040,2,0.370753,0
11592,14040,2,0.070370,0
8384,14040,2,0.370753,0
4336,14040,3,0.572274,0
5056,14040,3,0.608096,0
7496,14040,3,0.471649,0
7800,14040,3,0.500000,0
5144,14040,2,0.106877,0
7360,14040,2,0.145019,0
10208,14040,2,0.266821,0
8528,14040,2,0.177743,0
6312,14040,3,0.424242,0
8232,14040,3,0.578171,0
7928,14040,3,0.555402,0
7208,14040,3,0.490220,0
7584,14040,3,0.524183,0
7208,14040,3,0.490220,0
10728,17608,3,0.490220,0
14792,21720,3,0.490220,0
15192,21720,3,0.526247,0
17168,21720,3,0.438114,0
16768,21720,4,0.488372,0
13248,21720,4,0.441791,0
16600,21720,4,0.506897,0
18344,21720,4,0.617978,0
19600,23024,4,0.617978,0
21992,25464,4,0.617978,0
24288,27808,4,0.617978,0
25824,29392,4,0.617978,0
28392,32008,4,0.617978,0
26000,32008,5,0.543511,0
26104,32008,5,0.559748,0
29152,35104,5,0.559748,0
32904,38904,5,0.559748,0
35488,41536,5,0.559748,0
35520,41536,5,0.568690,0
39424,45488,5,0.568690,0
36840,45488,6,0.659642,0
38072,45488,6,0.657795,0
41256,48720,6,0.657795,0
39720,48720,7,0.724771,0
38464,48720,8,0.762742,0
35616,48720,8,0.686667,0
36512,48720,8,0.745297,0
35280,48720,8,0.771725,0
39352,52840,8,0.771725,0
39744,52840,8,0.782784,0
43128,56272,8,0.782784,0
43288,56272,8,0.796715,0
43256,56272,8,0.798097,0
41336,56272,8,0.683751,0
38288,56272,9,0.741182,0
34536,56272,9,0.667314,0
34816,56272,9,0.678120,0
37376,56272,9,0.753853,0
40928,56272,9,0.721526,0
44840,56272,8,0.765588,0
48432,59912,8,0.765588,0
46456,59912,8,0.800658,0
42544,59912,9,0.756595,0
43728,59912,9,0.819407,0
40376,59912,9,0.753947,0
40872,59912,9,0.777125,0
43976,59912,9,0.815732,0
47992,63976,9,0.815732,0
47096,63976,9,0.782541,0
49264,63976,9,0.798071,0
46160,63976,9,0.759864,0
46200,63976,9,0.763957,0
46216,63976,9,0.766962,0
42832,63976,10,0.807082,0
41088,63976,9,0.823595,0
38528,63976,10,0.842368,0
42160,63976,10,0.833922,0
39720,63976,10,0.756473,0
43360,63976,10,0.823529,0
43792,63976,10,0.844673,0
41624,63976,10,0.838944,0
39056,63976,10,0.823529,0
39928,63976,10,0.851026,0
43920,68016,10,0.851026,0
40328,68016,10,0.750686,0
40968,68016,10,0.770892,0
41680,68016,10,0.794516,0
38040,68016,10,0.804549,0
37648,68016,10,0.807522,0
39192,68016,10,0.813579,0
41456,68016,10,0.841113,0
40272,68016,9,0.752129,0
38728,68016,9,0.766275,0
42128,68016,9,0.772251,0
43128,68016,9,0.806838,0
42416,68016,10,0.812541,0
46296,68016,10,0.811336,0
48656,68016,10,0.818182,0
48616,68016,11,0.818590,0
44736,68016,11,0.792127,0
44912,68016,11,0.800372,0
44896,68016,11,0.800964,0
45760,68016,11,0.836300,0
46712,68016,11,0.835706,0
46280,68016,12,0.839236,0
48136,68016,12,0.831209,0
44144,68016,13,0.820115,0
45680,68016,13,0.850932,0
42280,68016,13,0.728966,0
39984,68016,13,0.753030,0
43496,68016,13,0.799299,0
45616,68016,13,0.856811,0
43760,68016,13,0.856839,0
45536,68016,13,0.857363,0
47872,68016,13,0.848432,0
47376,68016,12,0.837553,0
49488,68016,12,0.834286,0
50760,68016,12,0.843928,0
53984,71288,12,0.843928,0
54056,71288,12,0.843229,0
50832,71288,12,0.695148,0
49960,71288,12,0.709493,0
45896,71288,11,0.760459,0
42384,71288,12,0.791361,0
43816,71288,12,0.785270,0
46616,71288,12,0.816562,0
49968,71288,12,0.819860,0
53888,75256,12,0.819860,0
56856,75256,12,0.804854,0
54744,75256,12,0.827468,0
55832,75256,12,0.824040,0
55552,75256,12,0.827277,0
55376,75256,13,0.828965,0
56712,75256,13,0.838787,0
54936,75256,12,0.692474,0
51304,75256,12,0.743506,0
54208,75256,12,0.720350,0
55632,75256,12,0.780081,0
54360,75256,12,0.795302,0
57784,75256,12,0.821538,0
58440,75256,12,0.816327,0
61704,78568,12,0.816327,0
61768,78568,12,0.818723,0
58416,78568,12,0.769028,0
61488,78568,12,0.822092,0
57416,78568,12,0.762719,0
57520,78568,12,0.768810,0
60448,78568,12,0.833084,0
60600,78568,12,0.834511,0
63232,81248,12,0.834511,0
65200,81248,12,0.820809,0
61936,81248,13,0.809167,0
65832,85192,13,0.809167,0
68144,85192,13,0.831796,0
67056,85192,14,0.843355,0
63152,85192,14,0.680146,0
60816,85192,13,0.715160,0
63584,85192,13,0.818969,0
66672,85192,13,0.784555,0
65336,85192,14,0.800909,0
62432,85192,14,0.803425,0
62584,85192,14,0.811321,0
59816,85192,15,0.833910,0
62400,85192,15,0.828973,0
59432,85192,14,0.695312,0
59280,85192,15,0.697266,0
59752,85192,15,0.712905,0
61152,85192,15,0.760397,0
62424,85192,15,0.809561,0
60888,85192,16,0.822886,0
60728,85192,15,0.688761,0
58368,85192,15,0.719207,0
61600,85192,15,0.821522,0
63616,85192,15,0.811540,0
66352,85192,15,0.849588,0
65400,85192,15,0.858188,0
68304,88144,15,0.858188,0
71080,90968,15,0.858188,0
72400,90968,15,0.855087,0
73704,90968,15,0.859155,0
74800,90968,15,0.871991,0
75776,90968,15,0.878095,0
74912,90968,15,0.886323,0
71984,90968,15,0.733139,0
75992,90968,15,0.876448,0
78632,93656,15,0.876448,0
80440,95512,15,0.876448,0
84512,99632,15,0.876448,0
84624,99632,15,0.887875,0
81536,99632,14,0.714803,0
82128,99632,14,0.745680,0
85208,99632,14,0.882272,0
82568,99632,15,0.815745,0
83040,99632,15,0.846466,0
85064,99632,15,0.882754,0
86672,101288,15,0.882754,0
88240,102904,15,0.882754,0
84320,102904,15,0.678553,0
82896,102904,15,0.706102,0
85800,102904,15,0.827334,0
87456,102904,15,0.832588,0
89920,105416,15,0.832588,0
91080,105416,15,0.878359,0
89424,105416,15,0.811309,0
90472,105416,15,0.884564,0
93400,108392,15,0.884564,0
89504,108392,16,0.753667,0
87192,108392,15,0.769535,0
87088,108392,15,0.771441,0
90216,108392,15,0.743684,0
88200,108392,16,0.773699,0
89080,108392,16,0.817780,0
92664,112024,16,0.817780,0
95856,115264,16,0.817780,0
99312,118768,16,0.817780,0
98040,118768,17,0.830979,0
94032,118768,17,0.796447,0
89960,118768,18,0.828714,0
89488,118768,19,0.831804,0
86752,118768,20,0.847730,0
85352,118768,19,0.855225,0
87576,118768,19,0.855192,0
86528,118768,19,0.860624,0
87416,118768,19,0.885431,0
89520,118768,19,0.879976,0
86448,118768,20,0.892603,0
89136,118768,20,0.883918,0
91936,118768,20,0.874322,0
89912,118768,20,0.884460,0
92464,118768,20,0.881497,0
88448,118768,20,0.815852,0
91928,118768,20,0.884186,0
95832,122720,20,0.884186,0
97568,122720,20,0.887546,0
94016,122720,20,0.830189,0
95888,122720,20,0.895578,0
96768,122720,20,0.893768,0
99240,125240,20,0.893768,0
100488,125240,20,0.900075,0
103656,128456,20,0.900075,0
102352,128456,20,0.892264,0
98896,128456,21,0.867606,0
102280,128456,21,0.892378,0
